Food_Id,Calories,Total_Fat_DV,Sat_Fat_DV,Trans_Fat,Cholesterol_DV,Sodium_DV,Carbs_DV,Fiber_DV,Total_Sugars (g),Added_Sugars_DV,Protein (g),Vitamin_D_DV,Calcium_DV,Iron_DV,Potassium_DV,Healthy(0)/Unhealthy(1)/In Moderation(2)
161,255,17,8,0.3,18,28,4,11,3.8,0,23,0,6,10,12,2
162,534,26,39,0.4,12,47,25,17,1.6,4,19,5,21,25,9,1
163,250,3,5,0,2,23,16,4,7,0,9,0,0,0,8,1
164,563,42,42,1.3,26,44,16,13,8.7,0,26,0,20,24,8,1
165,150,12,5,0,0,9,6,4,0.5,0,2,0,0,0,1,1
166,160,15,8,0,0,6,5,4,0.5,0,2,0,0,0,10,1
167,255,11,13,0,12,26,8,19,1,0,21,0,8,21,18,0
168,492,39,87,0,28,28,14,16,9,0,22,10,45,16,17,0
169,374,33,45,0,40,18,2,7,2,0,29,1,5,6,14,0
170,366,27,25,0,31,11,4,7,5,0,30,0,0,0,23,0
171,393,28,36,0,10,35,13,24,17,2,14,0,25,16,14,0
172,727,70,41,0,0,27,16,34,7,0,19,0,21,24,20,0
173,510,26,17,0,15,40,17,32,7,0,35,10,12,25,13,0
174,182,1,1,0,0,13,13,39,9,0,10,0,6,22,25,0
175,296,17,12,0,20,24,7,21,6,0,25,0,8,12,17,0
176,419,30,53,0,9,36,16,30,10,0,14,0,23,12,13,0
177,517,31,23,0,0,44,23,39,6,0,16,0,22,25,9,0
178,447,19,30,0,11,26,21,30,6,0,25,0,36,22,14,0
179,396,15,8,0,17,25,22,41,3,0,19,0,22,29,7,0
180,499,35,25,0,4,22,20,36,23,3,13,1,17,17,17,0
181,379,19,22,0,95,30,14,23,5,0,21,0,20,31,7,0
182,432,39,37,0,19,23,6,17,6,0,24,0,24,15,20,0
183,399,30,56,0,17,40,10,17,3,0,20,0,28,20,4,0
184,553,33,28,0,5,27,20,30,17,0,29,0,25,27,10,0
185,420,33,39,0,9,26,9,21,8,0,27,0,50,26,16,0
186,282,13,15,0,8,20,13,14,5,0,12,0,13,11,7,0
187,401,6,0,0,36,28,25,18,9,1,19,1,11,39,11,0
188,402,28,25,0,7,27,13,29,9,0,17,2,17,22,13,0
189,305,11,6,0,0,19,20,19,9.3,0,7.9,0,5,26,12,2
190,140,2,5,0,2,4,9,0,26,18,10,15,15,0,6,2
191,104,18,10,0,0,0,0,0,0,0,0,0,0,0,0,2
192,510,22,26,0,24,52,16,38,2,0,42,0,16,42,36,2
193,984,78,174,0,56,56,28,32,18,0,44,20,90,32,34,1
194,728,66,90,0,80,36,4,14,4,0,58,2,10,12,28,1
195,732,54,50,0,62,22,8,14,10,0,60,0,0,0,46,2
196,786,56,72,0,20,70,26,48,34,4,28,0,50,32,28,1
197,1454,140,82,0,0,52,32,68,14,0,38,0,42,48,40,1
198,1020,52,34,0,30,80,34,64,14,0,70,20,24,50,26,2
199,1608,112,100,0,28,108,52,116,36,0,68,8,68,88,52,1
200,588,34,24,0,40,48,14,42,12,0,50,0,16,24,34,2
201,838,60,106,0,18,72,32,60,20,0,28,0,46,24,26,1
202,1034,62,42,0,0,88,46,78,12,0,32,0,44,50,18,2
203,894,38,60,0,22,52,42,60,12,0,50,0,72,44,28,2
204,788,30,16,0,34,50,44,82,6,0,38,0,44,58,14,2
205,998,70,50,0,8,44,40,72,46,6,26,2,34,34,34,2
206,758,38,44,0,190,60,28,46,10,0,42,0,40,62,14,1
207,846,78,74,0,38,46,12,34,12,0,48,0,48,30,40,2
208,798,60,112,0,34,80,20,34,6,0,40,0,56,40,8,1
209,1106,66,56,0,10,34,40,60,34,0,58,0,50,54,20,2
210,840,66,78,0,18,52,18,42,16,0,56,0,100,52,32,2
211,564,26,30,0,16,40,26,28,10,0,24,0,26,22,14,0
212,802,12,0,0,72,56,50,36,18,2,38,2,22,78,22,2
213,550,42,67,0,78,56,16,8,15,25,19,8,15,15,6,1
214,140,10,5,0,0,14,6,6,0,0,2,0,0,2,6,1
215,250,19,12,0,13,22,6,0,0,0,14,0,0,4,4,1
216,170,8,3,0,0,5,10,0,10,20,1,0,0,0,0,1
217,240,17,10,0,0,23,10,11,0,0,3,0,2,2,10,1
218,570,41,80,0,30,58,16,14,3,2,29,0,45,20,6,1
219,512,47,80,0.3,237,56,1,9,1.4,0,40,20,24,19,10,1
220,1012,69,90,0.5,89,37,26,1,24,48,58,1,29,29,14,1
221,595,42,65,1.6,35,62,15,10,9.8,18,33,0,22,24,11,1
